ID,q11a_1_i,public,responseid,q0_i,finished,device_phone,TIMING,startdate,enddate,duration_min,durationinseconds,recordeddate,studentprofiletime,studentprofile_min,essaytime,essaytime_min,qduration_essay_min,otheroutcomestime,otheroutcomestime_min,FACTORS,vignette,vignette_n,student_name,father_mail,essay,sex_female,ses_high,spanish,essay_good,essay_cc_high,allpassed,behaviour_good,OUTCOMES,grade_essay,grade_essay_good,grade_essay_bad,repit,expect,psupport,RESPONDENT_VARIABLES,q9_i,q10_1,age,q11b_1_i,q12_i,q13_i,q14_i,q15_i,RESPONDENT_ATTITUDES,q16_1,q16_2,q16_3,q16_4,MANIPULATION_CHECKS,q4_i,q5_i,q6_i,q7_i,q8_i,q8b_i,MANIPULATION_RIGHT_WRONG,sex_signal,migrant_signal,SES_signal,failed_signal,behaviour_signal,cc_signal,signals
,6,1,"R_7TGUc7TIhfOSL3X",1,"TRUE",1,,"19/4/23 10:32","19/4/23 10:40",7.366667,442,"19/4/23 10:40",34.272,.5712,84.492,1.4082,1,57.144,.9524,,1,17,1,1,7,0,1,1,1,1,1,1,,8,8,,0,8.4,8,,1,1993,2,1,1,2,1,1,,2,3,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,4,1,"R_TqhCndFDkF5tJFn",1,"TRUE",0,,"8/5/23 03:49","8/5/23 04:01",11.88333,713,"8/5/23 04:01",47.943,.79905,217.225,3.620417,3,73.966,1.232767,,1,17,1,1,7,0,1,1,1,1,1,1,,9,9,,0,8,7,,1,1974,2,7,2,1,1,1,,2,3,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,4,1,"R_3NOG7SE8YXW7bnL",1,"TRUE",1,,"27/4/23 03:41","27/4/23 03:48",6.716667,403,"27/4/23 03:48",32.775,.54625,114.201,1.90335,2,50.726,.8454334,,1,17,1,1,7,0,1,1,1,1,1,1,,10,10,,0,9,9,,2,2002,1,3,1,2,1,1,,2,3,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,8,0,"R_3HLdchCsHn9kry5",1,"TRUE",0,,"15/5/23 07:20","15/5/23 07:39",18.3,1098,"15/5/23 07:39",44.594,.7432334,112.115,1.868583,2,34.87,.5811666,,1,17,1,1,7,0,1,1,1,1,1,1,,9,9,,0,7,8,,2,1997,2,4,2,2,1,1,,1,3,2,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,17,0,"R_Qh7FgX6ucgjvgBj",1,"TRUE",0,,"23/5/23 08:44","23/5/23 08:47",2.95,177,"23/5/23 08:47",11.376,.1896,4.513,.0752167,1,2.978,.0496333,,1,17,1,1,7,0,1,1,1,1,1,1,,5.3,5.3,,5.8,6,7,,1,1995,2,3,2,1,1,1,,4,2,3,1,,3,3,3,5,1,1,,2,2,2,2,2,2,2
,18,1,"R_22G5ZmOzZzODCic",1,"TRUE",1,,"24/4/23 10:40","24/4/23 10:44",4.583333,275,"24/4/23 10:44",33.404,.5567333,39.007,.6501167,1,40.216,.6702667,,1,17,1,1,7,0,1,1,1,1,1,1,,9,9,,.3,9,8,,2,2000,1,4,1,2,1,1,,3,2,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,18,1,"R_1jIdtkfcGqZrEcZ",1,"TRUE",0,,"24/4/23 12:26","24/4/23 12:39",13.46667,808,"24/4/23 12:39",58.65,.9775,260.979,4.34965,3,100.412,1.673533,,1,17,1,1,7,0,1,1,1,1,1,1,,8.9,8.9,,.1,10,9,,2,1972,2,4,1,1,1,1,,2,3,1,4,,2,1,4,4,2,3,,1,1,1,1,1,1,1
,3,0,"R_11jvGIXXvI71JgZ",1,"TRUE",0,,"16/5/23 09:31","16/5/23 11:35",123.7833,7427,"16/5/23 11:35",104.534,1.742233,160.249,2.670817,3,99.154,1.652567,,2,18,1,1,7,0,1,1,1,1,0,1,,9.6,9.6,,0,7.5,6,,2,2004,1,1,1,1,1,1,,3,2,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,22,0,"R_1dMomUJO4ktnUap",1,"TRUE",0,,"2/5/23 06:28","2/5/23 06:33",5.6,336,"2/5/23 06:33",12.372,.2062,90.245,1.504083,1,46.516,.7752666,,2,18,1,1,7,0,1,1,1,1,0,1,,7,7,,6,7,7,,2,2004,1,1,1,1,1,1,,2,3,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,6,1,"R_9KAOQdYPj5Mvfrj",1,"TRUE",0,,"19/4/23 11:01","19/4/23 11:08",6.45,387,"19/4/23 11:08",8.302,.1383667,105.151,1.752517,2,64.436,1.073933,,2,18,1,1,7,0,1,1,1,1,0,1,,6.6,6.6,,3.6,7,3,,2,2000,1,3,1,1,1,1,,3,2,1,4,,2,1,3,3,2,3,,1,1,2,1,1,1,3
,6,1,"R_6EIfs7dbcLSVLY5",1,"TRUE",1,,"20/4/23 02:57","20/4/23 03:04",6.983333,419,"20/4/23 03:04",3.414,.0569,155.952,2.5992,3,52.627,.8771166,,2,18,1,1,7,0,1,1,1,1,0,1,,7.1,7.1,,1.1,8,6,,2,1998,1,3,1,2,1,2,,3,2,1,4,,2,1,4,3,1,3,,1,1,1,1,2,1,3
,17,0,"R_1FDoLvzjuHFjHe7",1,"TRUE",0,,"22/5/23 09:51","22/5/23 10:01",10.51667,631,"22/5/23 10:01",42.697,.7116166,239.895,3.99825,3,121.113,2.01855,,2,18,1,1,7,0,1,1,1,1,0,1,,8.5,8.5,,1.5,9,7,,1,2003,1,2,1,2,1,1,,2,3,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,4,1,"R_2XiLYxePXbLJE5i",1,"TRUE",0,,"30/4/23 11:02","30/4/23 12:00",57.48333,3449,"30/4/23 12:00",41.133,.68555,118.647,1.97745,2,54.45,.9075,,2,18,1,1,7,0,1,1,1,1,0,1,,9,9,,3,8,7,,2,1987,2,4,1,2,1,1,,1,2,3,4,,2,1,3,3,2,3,,1,1,2,1,1,1,3
,6,1,"R_b2gDJWe2c2VAQiB",1,"TRUE",0,,"19/4/23 06:20","19/4/23 06:34",14.36667,862,"19/4/23 06:34",10.763,.1793833,145.832,2.430533,2,41.84,.6973333,,2,18,1,1,7,0,1,1,1,1,0,1,,5.4,5.4,,6,5.4,6,,2,1991,2,1,2,2,1,1,,3,1,2,4,,1,3,3,2,2,3,,0,2,2,,1,1,3
,7,0,"R_ZvLGY4gfKIaaL85",1,"TRUE",0,,"16/5/23 08:25","16/5/23 08:30",5,300,"16/5/23 08:30",19.935,.33225,121.962,2.0327,2,22.114,.3685667,,2,18,1,1,7,0,1,1,1,1,0,1,,10,10,,0,10,8,,2,2004,1,1,1,1,1,1,,3,4,1,2,,2,1,4,4,2,3,,1,1,1,0,1,1,3
,7,0,"R_3g0XBW14MX4djKO",1,"TRUE",0,,"26/5/23 05:45","26/5/23 05:52",6.183333,371,"26/5/23 05:52",29.135,.4855833,108.048,1.8008,2,70.716,1.1786,,2,18,1,1,7,0,1,1,1,1,0,1,,8.5,8.5,,3,8,4,,2,2003,1,2,1,2,1,1,,2,3,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,16,0,"R_UXwzP2lkEc1cbcZ",1,"TRUE",1,,"1/5/23 14:49","1/5/23 14:57",7.933333,476,"1/5/23 14:57",37.154,.6192333,85.267,1.421117,1,73.596,1.2266,,2,18,1,1,7,0,1,1,1,1,0,1,,9.2,9.2,,6.7,7.1,8,,2,1982,2,7,2,2,1,1,,2,3,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,12,0,"R_3Defr5b6XSuv035",1,"TRUE",1,,"12/5/23 05:41","12/5/23 05:52",10.83333,650,"12/5/23 05:52",48.889,.8148167,159.899,2.664983,3,74.786,1.246433,,2,18,1,1,7,0,1,1,1,1,0,1,,7.2,7.2,,4.5,10,7,,1,2000,1,3,1,2,1,1,,3,2,1,4,,2,3,3,3,2,3,,1,2,2,1,1,1,3
,8,0,"R_10GyqeTzq5CccSj",1,"TRUE",0,,"11/5/23 09:09","11/5/23 09:17",8.95,537,"11/5/23 09:17",52.862,.8810333,149.431,2.490517,2,85.934,1.432233,,2,18,1,1,7,0,1,1,1,1,0,1,,10,10,,1,10,0,,2,1994,2,4,2,2,1,1,,3,2,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,22,0,"R_2chkAHbC7sTS1Dc",1,"TRUE",0,,"2/5/23 14:28","2/5/23 14:41",13,780,"2/5/23 14:41",164.002,2.733367,159.094,2.651567,3,78.546,1.3091,,2,18,1,1,7,0,1,1,1,1,0,1,,10,10,,2,10,9,,2,2004,1,1,1,1,1,1,,2,3,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,6,1,"R_3lAopm30CNasL6p",1,"TRUE",0,,"22/4/23 06:51","22/4/23 07:01",9.35,561,"22/4/23 07:01",45.551,.7591833,117.765,1.96275,2,112.568,1.876133,,2,18,1,1,7,0,1,1,1,1,0,1,,6.2,6.2,,7.5,9.3,6,,2,1997,2,4,1,1,1,1,,2,3,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,6,1,"R_AnWmgvQRUO6K1hL",1,"TRUE",0,,"24/4/23 16:57","24/4/23 17:08",11.2,672,"24/4/23 17:08",100.726,1.678767,178.919,2.981983,3,83.565,1.39275,,2,18,1,1,7,0,1,1,1,1,0,1,,6.7,6.7,,2.3,8.9,4,,2,1993,2,3,2,2,1,1,,3,1,2,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,8,0,"R_290z2t8DapxGMro",1,"TRUE",0,,"11/5/23 07:26","11/5/23 07:35",9.2,552,"11/5/23 07:35",55.183,.9197167,224.486,3.741433,3,86.168,1.436133,,2,18,1,1,7,0,1,1,1,1,0,1,,10,10,,10,8,7,,1,1996,2,4,2,2,1,1,,2,3,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,11,0,"R_2zr3LrcO4YvCSlu",1,"TRUE",1,,"10/5/23 11:38","10/5/23 11:45",6.933333,416,"10/5/23 11:45",45.094,.7515667,130.294,2.171567,2,34.264,.5710667,,2,18,1,1,7,0,1,1,1,1,0,1,,3.6,3.6,,9,10,4,,2,2004,1,1,1,2,1,1,,2,3,1,4,,2,1,3,3,2,3,,1,1,2,1,1,1,3
,8,0,"R_1C9LoWVd7mNF20l",1,"TRUE",0,,"13/5/23 08:25","13/5/23 08:55",29.66667,1780,"13/5/23 08:55",65.179,1.086317,654.634,10.91057,3,36.914,.6152334,,2,18,1,1,7,0,1,1,1,1,0,1,,6.7,6.7,,0,8.5,6,,2,1999,1,4,1,2,1,1,,3,2,1,4,,2,1,4,3,2,3,,1,1,1,1,1,1,1
,17,0,"R_2q9u4mah4b7YNtZ",1,"TRUE",0,,"22/5/23 09:52","22/5/23 10:00",7.916667,475,"22/5/23 10:00",44.454,.7409,118.991,1.983183,2,43.224,.7204,,3,14,1,1,5,0,1,1,1,0,1,1,,6.5,6.5,,0,9.2,2,,2,2003,1,2,1,1,1,1,,2,3,1,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,6,1,"R_CgJhkRmBuAvBS1z",1,"TRUE",1,,"19/4/23 09:35","19/4/23 09:46",10.98333,659,"19/4/23 09:46",86.07,1.4345,199.072,3.317867,3,68.185,1.136417,,3,14,1,1,5,0,1,1,1,0,1,1,,9,9,,0,9,10,,2,1993,2,3,1,1,1,1,,2,1,3,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,8,0,"R_3KqjqGCMy52OUtv",1,"TRUE",1,,"11/5/23 10:11","11/5/23 10:19",7.716667,463,"11/5/23 10:19",27.546,.4591,191.729,3.195483,3,48.713,.8118833,,3,14,1,1,5,0,1,1,1,0,1,1,,8.2,8.2,,0,9,7,,1,1995,2,5,2,2,1,1,,2,3,1,4,,2,1,3,4,2,2,,1,1,2,1,1,1,3
,6,1,"R_3PNdjEGe79p0KdF",1,"TRUE",1,,"19/4/23 12:21","19/4/23 12:24",2.85,171,"19/4/23 12:24",18.557,.3092833,27.108,.4518,1,23.285,.3880833,,3,14,1,1,5,0,1,1,1,0,1,1,,8.8,8.8,,4.1,7.3,5,,2,1998,1,1,1,1,1,1,,2,3,1,4,,2,1,2,4,2,3,,1,1,0,1,1,0,3
,2,1,"R_3NPQdkWJEzzRLEM",1,"TRUE",0,,"5/6/23 00:42","5/6/23 00:51",8.033334,482,"5/6/23 00:51",50.756,.8459333,141.452,2.357533,2,46.876,.7812666,,3,14,1,1,5,0,1,1,1,0,1,1,,8.5,8.5,,0,8,8,,2,1991,2,4,1,2,1,2,,2,3,1,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,20,0,"R_1igvG4b2ONOvUQH",1,"TRUE",1,,"17/5/23 07:06","17/5/23 07:18",11.85,711,"17/5/23 07:18",16.937,.2822833,137.772,2.2962,2,78.549,1.30915,,3,14,1,1,5,0,1,1,1,0,1,1,,9,9,,0,10,8,,2,2000,1,4,1,2,1,1,,3,2,1,4,,2,1,4,5,2,2,,1,1,1,2,1,1,3
,21,0,"R_23dgCpGCciSNmkB",1,"TRUE",1,,"4/5/23 06:43","4/5/23 06:49",5.616667,337,"4/5/23 06:49",32.439,.54065,107.464,1.791067,2,36.601,.6100167,,3,14,1,1,5,0,1,1,1,0,1,1,,9,9,,0,10,9,,2,2001,1,3,2,2,1,1,,2,3,1,4,,1,1,4,4,2,2,,0,1,1,1,1,1,3
,6,1,"R_AvPqATgfNhkfXK9",1,"TRUE",1,,"19/4/23 13:47","19/4/23 13:53",6.033333,362,"19/4/23 13:53",21.027,.35045,115.576,1.926267,2,52.596,.8766,,3,14,1,1,5,0,1,1,1,0,1,1,,8.5,8.5,,.1,8.8,9,,2,1982,2,4,2,1,1,1,,2,3,1,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,16,0,"R_3sykvwE3iETaaIi",1,"TRUE",1,,"9/5/23 08:59","9/5/23 09:05",6.75,405,"9/5/23 09:05",47.008,.7834666,136.609,2.276817,2,31.4,.5233333,,3,14,1,1,5,0,1,1,1,0,1,1,,8.6,8.6,,.1,9.7,10,,2,2000,1,4,1,2,1,1,,3,1,2,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,6,1,"R_2VDSNrg3bKaD28K",1,"TRUE",0,,"19/4/23 15:37","19/4/23 15:49",12.25,735,"19/4/23 15:49",60.661,1.011017,196.714,3.278567,3,99.527,1.658783,,3,14,1,1,5,0,1,1,1,0,1,1,,9.1,9.1,,0,10,10,,2,1975,2,2,1,2,1,1,,2,3,1,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,4,1,"R_3L5Co7XKjjVJ0x8",1,"TRUE",0,,"11/5/23 04:18","11/5/23 04:31",12.7,762,"11/5/23 04:31",149.821,2.497017,254.9,4.248333,3,71.443,1.190717,,3,14,1,1,5,0,1,1,1,0,1,1,,8.6,8.6,,0,9,7,,2,1991,2,4,1,2,1,1,,1,3,2,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,6,1,"R_pGZjxXxr1BvN4sx",1,"TRUE",1,,"19/4/23 08:52","19/4/23 09:04",11.71667,703,"19/4/23 09:04",40.235,.6705834,158.52,2.642,3,63.845,1.064083,,3,14,1,1,5,0,1,1,1,0,1,1,,9.8,9.8,,0,9.7,10,,2,1985,2,2,1,2,1,1,,3,2,1,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,21,0,"R_3CBotd8EklueD25",1,"TRUE",1,,"4/5/23 05:55","4/5/23 06:03",7.783333,467,"4/5/23 06:03",40.421,.6736833,138.391,2.306517,2,76.881,1.28135,,3,14,1,1,5,0,1,1,1,0,1,1,,8.5,8.5,,0,9,5,,1,2000,1,4,1,1,1,1,,2,3,1,4,,2,1,4,4,2,2,,1,1,1,1,1,1,1
,17,0,"R_1kO1oLyZXXGeh2W",1,"TRUE",1,,"22/5/23 09:49","22/5/23 09:55",5.916667,355,"22/5/23 09:55",11.365,.1894167,49.944,.8324,1,40.009,.6668167,,3,14,1,1,5,0,1,1,1,0,1,1,,10,10,,10,10,8,,2,2002,1,2,1,1,1,1,,1,2,3,4,,2,5,4,4,2,1,,1,0,1,1,1,2,3
,6,1,"R_3HUC8uzDR7LtUWF",1,"TRUE",0,,"20/4/23 01:53","20/4/23 02:11",17.96667,1078,"20/4/23 02:11",74.554,1.242567,331.164,5.5194,3,297.841,4.964017,,4,20,1,1,5,0,1,1,1,0,0,1,,7,7,,1,8,9,,2,1980,2,3,1,1,1,1,,2,3,1,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,14,0,"R_10JgfuPGW1XMAYE",1,"TRUE",1,,"10/5/23 05:06","10/5/23 06:15",69.28333,4157,"10/5/23 06:15",4.126,.0687667,31.71,.5285,1,25.092,.4182,,4,20,1,1,5,0,1,1,1,0,0,1,,8.8,8.8,,0,10,10,,2,2001,1,2,2,2,1,1,,1,4,2,3,,2,3,3,5,1,1,,1,2,2,2,2,2,3
,8,0,"R_1mgDlrvmOru6MvF",1,"TRUE",0,,"13/5/23 05:31","13/5/23 05:40",8.916667,535,"13/5/23 05:40",76.061,1.267683,127.823,2.130383,2,53.771,.8961833,,4,20,1,1,5,0,1,1,1,0,0,1,,10,10,,7.6,10,1,,2,2001,1,4,1,2,1,1,,3,2,1,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,18,1,"R_YRlYf30SSqfI7n3",1,"TRUE",0,,"24/4/23 15:16","24/4/23 15:26",9.45,567,"24/4/23 15:26",58.349,.9724833,173.115,2.88525,3,101.752,1.695867,,4,20,1,1,5,0,1,1,1,0,0,1,,5.8,5.8,,4,6,2,,2,1985,2,2,1,2,1,1,,2,3,1,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,8,0,"R_3IbmPgiPtZS9cyj",1,"TRUE",0,,"12/5/23 01:34","12/5/23 01:39",4.766667,286,"12/5/23 01:39",4.879,.0813167,84.493,1.408217,1,53.786,.8964333,,4,20,1,1,5,0,1,1,1,0,0,1,,10,10,,4.5,10,8,,2,2001,1,3,2,2,1,1,,3,1,2,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,22,0,"R_1M5SocAnu0RPQju",1,"TRUE",1,,"2/5/23 07:28","2/5/23 07:33",5.266667,316,"2/5/23 07:33",15.898,.2649667,97.847,1.630783,1,41.436,.6906,,4,20,1,1,5,0,1,1,1,0,0,1,,9.5,9.5,,0,8,9,,2,2004,1,1,1,1,1,1,,1,2,3,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,18,1,"R_2wLeg0bjyyDTIB9",1,"TRUE",0,,"25/4/23 06:34","25/4/23 06:40",6.666667,400,"25/4/23 06:40",26.703,.44505,88.109,1.468483,1,48.096,.8016,,4,20,1,1,5,0,1,1,1,0,0,1,,8.5,8.5,,5,7,6,,1,1996,2,2,1,2,1,1,,3,2,1,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,3,0,"R_3QLFvcAWBiZ8QUP",1,"TRUE",1,,"10/5/23 01:14","10/5/23 01:19",5.3,318,"10/5/23 01:19",10.006,.1667667,102.146,1.702433,2,36.407,.6067833,,4,20,1,1,5,0,1,1,1,0,0,1,,8.5,8.5,,3.4,7,5,,2,2001,1,4,1,2,1,1,,3,2,1,4,,2,3,4,3,2,2,,1,2,1,1,1,1,3
,21,0,"R_pJXzTsTFH6QUppf",1,"TRUE",1,,"4/5/23 05:42","4/5/23 06:30",47.36666,2842,"4/5/23 06:30",51.577,.8596166,148.354,2.472567,2,46.947,.78245,,4,20,1,1,5,0,1,1,1,0,0,1,,9,9,,4,7,7,,2,1996,2,4,1,2,1,1,,1,3,2,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,18,1,"R_1QbghrPPRCeq8Lp",1,"TRUE",0,,"24/4/23 11:27","25/4/23 04:58",1050.6,63036,"25/4/23 04:58",44.199,.73665,124.386,2.0731,2,43.294,.7215666,,4,20,1,1,5,0,1,1,1,0,0,1,,8.5,8.5,,0,9,9,,2,1995,2,4,1,1,1,1,,2,3,1,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,8,0,"R_pxxQdgxZtA053dT",1,"TRUE",0,,"13/5/23 04:16","13/5/23 04:22",5.866667,352,"13/5/23 04:22",32.265,.53775,64.434,1.0739,1,46.5,.775,,4,20,1,1,5,0,1,1,1,0,0,1,,8.5,8.5,,7,10,6,,2,2001,1,4,1,2,1,1,,3,2,1,4,,2,3,4,3,2,3,,1,2,1,1,1,0,3
,6,1,"R_23vHXe0tO8uHSpj",1,"TRUE",0,,"19/4/23 11:28","19/4/23 11:36",7.45,447,"19/4/23 11:36",42.696,.7116,170.118,2.8353,3,60.75,1.0125,,4,20,1,1,5,0,1,1,1,0,0,1,,8.7,8.7,,5.1,9.9,4,,2,1988,2,2,1,1,1,1,,1,3,2,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,6,1,"R_3p3ENFNsVvXlmAH",1,"TRUE",0,,"19/4/23 10:06","19/4/23 10:14",8.566667,514,"19/4/23 10:14",24.592,.4098667,128.169,2.13615,2,27.557,.4592833,,4,20,1,1,5,0,1,1,1,0,0,1,,9.8,9.8,,0,9.9,10,,2,1970,2,5,1,2,1,1,,3,2,1,4,,2,3,4,3,2,2,,1,2,1,1,1,1,3
,20,0,"R_2DUfe07u6iJ28WE",1,"TRUE",1,,"24/5/23 05:40","24/5/23 06:17",36.5,2190,"24/5/23 06:17",58.041,.96735,242.581,4.043016,3,54.871,.9145166,,4,20,1,1,5,0,1,1,1,0,0,1,,10,10,,1,9,8,,1,2000,1,1,1,2,1,1,,2,3,1,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
,7,0,"R_1QylB5YhGlIoxTL",1,"TRUE",0,,"29/5/23 08:32","29/5/23 08:37",4.516667,271,"29/5/23 08:37",5.917,.0986167,72.048,1.2008,1,25.376,.4229333,,4,20,1,1,5,0,1,1,1,0,0,1,,7.9,7.9,,.1,10,9,,2,2001,1,4,1,2,1,1,,2,3,1,4,,2,1,4,5,2,3,,1,1,1,2,1,0,3
,21,0,"R_2SJP9YJdicGGyyD",1,"TRUE",0,,"4/5/23 11:43","4/5/23 11:48",5.033333,302,"4/5/23 11:48",39.58,.6596667,64.201,1.070017,1,40.073,.6678833,,4,20,1,1,5,0,1,1,1,0,0,1,,7.5,7.5,,0,8,8,,2,1999,1,4,1,1,2,2,,2,1,3,4,,2,1,4,3,2,3,,1,1,1,1,1,0,3
,14,0,"R_3qKzkySb6XB9gsE",1,"TRUE",1,,"10/5/23 07:30","10/5/23 07:44",13.75,825,"10/5/23 07:44",117.635,1.960583,155.053,2.584217,3,125.899,2.098317,,4,20,1,1,5,0,1,1,1,0,0,1,,9,9,,3,8.5,3,,2,2001,1,4,1,2,1,1,,2,3,1,4,,2,1,4,3,2,2,,1,1,1,1,1,1,1
